,text_latinamerica,text_spain,encoded_latinamerica_spain,encoded_latinamerica,text_prediction
264,"no es a que adoptemos un modelo totalitario al estilo de 1984,","no es que esto se convierta en el modelo totalitario de 1984,","<s>no es a que adoptemos un modelo totalitario al estilo de 1984,</s>>>>><p>no es que esto se convierta en el modelo totalitario de 1984,</p>","<s>no es a que adoptemos un modelo totalitario al estilo de 1984,</s>>>>><p>","no es a que adoptemos un modelo de 1984,"
265,"No, nada de felicitaciones. ¿Por qué? Hace diez años que esperas esto.",Nada de enhorabuenas. ¿Por qué? Es lo que quieres desde hace diez años.,"<s>No, nada de felicitaciones. ¿Por qué? Hace diez años que esperas esto.</s>>>>><p>Nada de enhorabuenas. ¿Por qué? Es lo que quieres desde hace diez años.</p>","<s>No, nada de felicitaciones. ¿Por qué? Hace diez años que esperas esto.</s>>>>><p>","No, nada de felicitaciones. ¿Por qué? Hace diez años que esperas esto."
266,"Me veo bien. No lo molestes, Caroline.","Estoy bien. No lo atosigues, Caroline.","<s>Me veo bien. No lo molestes, Caroline.</s>>>>><p>Estoy bien. No lo atosigues, Caroline.</p>","<s>Me veo bien. No lo molestes, Caroline.</s>>>>><p>","¿Me veo bien? No lo molestes, Caroline."
267,Vamos a la playa una vez al mes. Solo una vez.,A la playa una vez al mes. Una.,<s>Vamos a la playa una vez al mes. Solo una vez.</s>>>>><p>A la playa una vez al mes. Una.</p>,<s>Vamos a la playa una vez al mes. Solo una vez.</s>>>>><p>,¿Vamos a la playa una vez al mes? Solo una vez.
268,pero yo estaré en todo eso. Estaré por donde mires mientras vivas.,y allí estaré en toda esa mierda. Estaré allí donde mires mientras vivas.,<s>pero yo estaré en todo eso. Estaré por donde mires mientras vivas.</s>>>>><p>y allí estaré en toda esa mierda. Estaré allí donde mires mientras vivas.</p>,<s>pero yo estaré en todo eso. Estaré por donde mires mientras vivas.</s>>>>><p>,...pero yo estaré en todo eso. Estaré por donde mires mientras vivas.
269,Te mereces algo mejor... ...que otra alma rota.,Te mereces algo mejor... ...que otra alma rota.,<s>Te mereces algo mejor... ...que otra alma rota.</s>>>>><p>Te mereces algo mejor... ...que otra alma rota.</p>,<s>Te mereces algo mejor... ...que otra alma rota.</s>>>>><p>,...te mereces algo mejor......que otra alma rota.
270,Sé tu pequeño secreto. No entiendo lo que dice la Sra. Miseria.,"Conozco tu secreto. No entiendo, por favor, lo que dice la señora Miseria.","<s>Sé tu pequeño secreto. No entiendo lo que dice la Sra. Miseria.</s>>>>><p>Conozco tu secreto. No entiendo, por favor, lo que dice la señora Miseria.</p>",<s>Sé tu pequeño secreto. No entiendo lo que dice la Sra. Miseria.</s>>>>><p>,No lo entiendo. No lo entiendo. No lo entiendo.
271,Nunca se enteró.,Nunca se enteró.,<s>Nunca se enteró.</s>>>>><p>Nunca se enteró.</p>,<s>Nunca se enteró.</s>>>>><p>,No se enteró.
272,"la hipocresía de la dirección de escuela. Nunca nos presentamos,","la hipocresía de los que llevan el instituto. Tío, no nos conocemos oficialmente,","<s>la hipocresía de la dirección de escuela. Nunca nos presentamos,</s>>>>><p>la hipocresía de los que llevan el instituto. Tío, no nos conocemos oficialmente,</p>","<s>la hipocresía de la dirección de escuela. Nunca nos presentamos,</s>>>>><p>","la vistió de colegio. Nunca nos presentamos,"
273,Te veo en el equipo nacional.,El equipo nacional lleva tu nombre escrito.,<s>Te veo en el equipo nacional.</s>>>>><p>El equipo nacional lleva tu nombre escrito.</p>,<s>Te veo en el equipo nacional.</s>>>>><p>,Te veo en el equipo nacional.
274,"Sol, sé que esto no es fácil para ti, pero nunca estaremos juntos si no escogemos un día.","Sol, sé que esto no es fácil para ti, pero nunca estaremos juntos si no escogemos un día.","<s>Sol, sé que esto no es fácil para ti, pero nunca estaremos juntos si no escogemos un día.</s>>>>><p>Sol, sé que esto no es fácil para ti, pero nunca estaremos juntos si no escogemos un día.</p>","<s>Sol, sé que esto no es fácil para ti, pero nunca estaremos juntos si no escogemos un día.</s>>>>><p>","Sol, sé que esto no es fácil para ti, pero nunca estaremos juntos si no eliges un día."
275,Mamá. Prometo que te voy a decir todo...,Mamá. Prometo contártelo todo...,<s>Mamá. Prometo que te voy a decir todo...</s>>>>><p>Mamá. Prometo contártelo todo...</p>,<s>Mamá. Prometo que te voy a decir todo...</s>>>>><p>,Mamá. Prometo que te lo voy a decir todo...
276,"Y el rojo es para delincuentes, drogadictos y mi hermano.","El rojo es de delincuentes, fumetas y mi hermano.","<s>Y el rojo es para delincuentes, drogadictos y mi hermano.</s>>>>><p>El rojo es de delincuentes, fumetas y mi hermano.</p>","<s>Y el rojo es para delincuentes, drogadictos y mi hermano.</s>>>>><p>","y el rojo es para delincuentes, drogadictos y mi hermano."
277,Claro. Miren esta rendija.,Claro. Mirad esta raja.,<s>Claro. Miren esta rendija.</s>>>>><p>Claro. Mirad esta raja.</p>,<s>Claro. Miren esta rendija.</s>>>>><p>,¿Ves esta grieta? Mirad esta grieta.
278,¿Hay algo que pueda hacer?,¿Puedo hacer algo?,<s>¿Hay algo que pueda hacer?</s>>>>><p>¿Puedo hacer algo?</p>,<s>¿Hay algo que pueda hacer?</s>>>>><p>,¿Hay algo que pueda hacer?
279,...los asesinos.,los asesinos.,<s>...los asesinos.</s>>>>><p>los asesinos.</p>,<s>...los asesinos.</s>>>>><p>,...los asesinos.
280,"Estas herramientas son tan poderosas que si no se las regula,","Estas herramientas son tan potentes que, si no se regulan,","<s>Estas herramientas son tan poderosas que si no se las regula,</s>>>>><p>Estas herramientas son tan potentes que, si no se regulan,</p>","<s>Estas herramientas son tan poderosas que si no se las regula,</s>>>>><p>","Las herramientas son tan poderosas que si no se las controlo,"
281,"el mismo día que mi actriz favorita, Marcia Gay Harden. Cierto. Además, no voy a esos eventos.","igual que el de nuestra actriz favorita, Marcia Gay Harden. Sí. Y yo no suelo ir a esas celebraciones.","<s>el mismo día que mi actriz favorita, Marcia Gay Harden. Cierto. Además, no voy a esos eventos.</s>>>>><p>igual que el de nuestra actriz favorita, Marcia Gay Harden. Sí. Y yo no suelo ir a esas celebraciones.</p>","<s>el mismo día que mi actriz favorita, Marcia Gay Harden. Cierto. Además, no voy a esos eventos.</s>>>>><p>","...el día que mi actriz favorita, Marcia Gay Harden. Cierto. Y no voy a esos eventos."
282,"Sí, ya lo sé. Leo todos sus mensajes.","Ah, sí, ya lo sé. He leído sus mensajes.","<s>Sí, ya lo sé. Leo todos sus mensajes.</s>>>>><p>Ah, sí, ya lo sé. He leído sus mensajes.</p>","<s>Sí, ya lo sé. Leo todos sus mensajes.</s>>>>><p>",Ya lo sé. Leo todos sus mensajes.
283,¿Es así?,¿Sirve?,<s>¿Es así?</s>>>>><p>¿Sirve?</p>,<s>¿Es así?</s>>>>><p>,¿Es así?
284,"Muy sabio de tu parte. Ahora vete. Si mi hijo o mi nuera te encuentran aquí, te arrestarán.","Sensata respuesta. Ahora váyase. Si mi hijo o mi nuera la ven por aquí, la harán arrestar.","<s>Muy sabio de tu parte. Ahora vete. Si mi hijo o mi nuera te encuentran aquí, te arrestarán.</s>>>>><p>Sensata respuesta. Ahora váyase. Si mi hijo o mi nuera la ven por aquí, la harán arrestar.</p>","<s>Muy sabio de tu parte. Ahora vete. Si mi hijo o mi nuera te encuentran aquí, te arrestarán.</s>>>>><p>","Íbamos a decir muy sabio. Ahora vete. Si mi hijo o mi nuera te encuentran aquí, te arrestarán."
285,Estamos atacando. Una cita anularía el ataque. ¡Caballeros! Hagámoslo.,Vamos a entrar a la fuerza. Venir con cita no es lo mismo. ¡Caballeros! ¡Esto es la hostia! ¡Vamos!,<s>Estamos atacando. Una cita anularía el ataque. ¡Caballeros! Hagámoslo.</s>>>>><p>Vamos a entrar a la fuerza. Venir con cita no es lo mismo. ¡Caballeros! ¡Esto es la hostia! ¡Vamos!</p>,<s>Estamos atacando. Una cita anularía el ataque. ¡Caballeros! Hagámoslo.</s>>>>><p>,basta. Una cita anularía el ataque. ¡Caballeros! Hagámoslo.
286,"Intenta matarlo,","Debe detener a la abuela, la Viuda. Intenta matarlo,","<s>Intenta matarlo,</s>>>>><p>Debe detener a la abuela, la Viuda. Intenta matarlo,</p>","<s>Intenta matarlo,</s>>>>><p>","Intenta matarlo,"
287,"Es cierto. Un detalle, esa persona no puede ser Cuban.",Es verdad. Pero ese tiburón no puede ser Cuban.,"<s>Es cierto. Un detalle, esa persona no puede ser Cuban.</s>>>>><p>Es verdad. Pero ese tiburón no puede ser Cuban.</p>","<s>Es cierto. Un detalle, esa persona no puede ser Cuban.</s>>>>><p>","Es verdad. Un detalle, esa persona no puede ser Cuban."
288,No importa si eres apuesto y bello. ¡Pero soy adorable!,por muy guapo y atractivo que seas. Si soy encantadora.,<s>No importa si eres apuesto y bello. ¡Pero soy adorable!</s>>>>><p>por muy guapo y atractivo que seas. Si soy encantadora.</p>,<s>No importa si eres apuesto y bello. ¡Pero soy adorable!</s>>>>><p>,No importa si eres guapo y guapo. ¡Pero soy adorable!
289,"no te desnudarías en partidos, no irías a tiendas eróticas... ¿Es lo que haces?",No te desnudarías en los partidos ni irías a  sex shops. ¿Esta es tu misión?,"<s>no te desnudarías en partidos, no irías a tiendas eróticas... ¿Es lo que haces?</s>>>>><p>No te desnudarías en los partidos ni irías a  sex shops. ¿Esta es tu misión?</p>","<s>no te desnudarías en partidos, no irías a tiendas eróticas... ¿Es lo que haces?</s>>>>><p>","...no te desnudarías en partidos, no irías a tiendas de porno... ¿Es lo que haces?"
290,Voy contigo. La conseguiré.,-No vas a hacerlo. -Mira esto. Estoy contigo.,<s>Voy contigo. La conseguiré.</s>>>>><p>-No vas a hacerlo. -Mira esto. Estoy contigo.</p>,<s>Voy contigo. La conseguiré.</s>>>>><p>,¿Te vas? La conseguiré.
291,"Ya han sufrido tanto en sus vidas, niños,","Ya tenéis suficiente pesar en vuestras vidas,","<s>Ya han sufrido tanto en sus vidas, niños,</s>>>>><p>Ya tenéis suficiente pesar en vuestras vidas,</p>","<s>Ya han sufrido tanto en sus vidas, niños,</s>>>>><p>","Han sufrido tanto en vuestra vida, niños,"
292,que tengo que hacer algo para recordarme que existo.,...que debo hacer algo para recordarme que existo.,<s>que tengo que hacer algo para recordarme que existo.</s>>>>><p>...que debo hacer algo para recordarme que existo.</p>,<s>que tengo que hacer algo para recordarme que existo.</s>>>>><p>,...que tengo que hacer algo para recordarme que existo.
293,No es un color.,Pero si eso no es un color.,<s>No es un color.</s>>>>><p>Pero si eso no es un color.</p>,<s>No es un color.</s>>>>><p>,No es un color.
294,No me metí en el negocio de los inodoros para entrar al de los dulces y equivocarme de caramelo.,No entré al negocio de los inodoros para entrar al de los dulces y que me digan que vendo los equivocados.,<s>No me metí en el negocio de los inodoros para entrar al de los dulces y equivocarme de caramelo.</s>>>>><p>No entré al negocio de los inodoros para entrar al de los dulces y que me digan que vendo los equivocados.</p>,<s>No me metí en el negocio de los inodoros para entrar al de los dulces y equivocarme de caramelo.</s>>>>><p>,No me metí en el negocio de los váteres para entrar al váter de los dulces y equivocarme de caramelo.
295,"Está conmigo. Hola, Jess.","Está conmigo. Hola, Jess. Has venido.","<s>Está conmigo. Hola, Jess.</s>>>>><p>Está conmigo. Hola, Jess. Has venido.</p>","<s>Está conmigo. Hola, Jess.</s>>>>><p>","...está conmigo. Hola, Jess."
296,Le dio en la teta. No se muevan. Manos arriba. Que nadie se mueva.,¡Adiós teta! ¡Quietos! ¡Las manos arriba! ¡Que nadie se mueva!,<s>Le dio en la teta. No se muevan. Manos arriba. Que nadie se mueva.</s>>>>><p>¡Adiós teta! ¡Quietos! ¡Las manos arriba! ¡Que nadie se mueva!</p>,<s>Le dio en la teta. No se muevan. Manos arriba. Que nadie se mueva.</s>>>>><p>,-Le dio en la teta. -No se muevan. Manos arriba. Que nadie se mueva.
297,al bajar del Monte Peligroso. Compremos una granja y cultivemos colinabos.,tras bajar del monte Tensión. Compremos una granja y plantemos nabicol.,<s>al bajar del Monte Peligroso. Compremos una granja y cultivemos colinabos.</s>>>>><p>tras bajar del monte Tensión. Compremos una granja y plantemos nabicol.</p>,<s>al bajar del Monte Peligroso. Compremos una granja y cultivemos colinabos.</s>>>>><p>,en el Monte Peligroso. Compremos una granja y cultivamos colinabo.
298,"¿Por qué siempre yo? Que Meghan lo haga, le gusta la violencia. No, nadie elegirá la violencia.","¿Por qué siempre me toca a mí? A Meghan le gusta la gresca. No, a nadie le gusta la gresca.","<s>¿Por qué siempre yo? Que Meghan lo haga, le gusta la violencia. No, nadie elegirá la violencia.</s>>>>><p>¿Por qué siempre me toca a mí? A Meghan le gusta la gresca. No, a nadie le gusta la gresca.</p>","<s>¿Por qué siempre yo? Que Meghan lo haga, le gusta la violencia. No, nadie elegirá la violencia.</s>>>>><p>","-No, Meghan. -¿Por qué siempre? Que Meghan lo haga, le gusta la violencia."
299,¡La niña salió de la nada!,¡Esa niña ha salido de la nada!,<s>¡La niña salió de la nada!</s>>>>><p>¡Esa niña ha salido de la nada!</p>,<s>¡La niña salió de la nada!</s>>>>><p>,¡La niña salió de la nada!
300,que donó $50 000 a mi fundación para ayudar a chicos desfavorecidos.,que donaste 50 000 a la fundación para ayudar a jóvenes desfavorecidos.,<s>que donó $50 000 a mi fundación para ayudar a chicos desfavorecidos.</s>>>>><p>que donaste 50 000 a la fundación para ayudar a jóvenes desfavorecidos.</p>,<s>que donó $50 000 a mi fundación para ayudar a chicos desfavorecidos.</s>>>>><p>,que donó 50 000 dólares a mi fundación para ayudar a chicos desfavorecidos.
301,"Escucha, posiblemente, sea... ...por el contacto físico y...",Tío... escucha. Probablemente sea... ...por el contacto físico y...,"<s>Escucha, posiblemente, sea... ...por el contacto físico y...</s>>>>><p>Tío... escucha. Probablemente sea... ...por el contacto físico y...</p>","<s>Escucha, posiblemente, sea... ...por el contacto físico y...</s>>>>><p>",...quizá sea......por el contacto físico y...
302,"Llamaron a la Dra. Dumanis por una emergencia,","El doctor Dumanis tenía una urgencia,","<s>Llamaron a la Dra. Dumanis por una emergencia,</s>>>>><p>El doctor Dumanis tenía una urgencia,</p>","<s>Llamaron a la Dra. Dumanis por una emergencia,</s>>>>><p>","Llamaron a la doctora Dumanis por una emergencia,"
303,Debo declarar mañana temprano. Yo también. Supongo que voy después de ti.,"Declaro mañana a primera hora. Yo también. Entonces, ¿voy después de ti?","<s>Debo declarar mañana temprano. Yo también. Supongo que voy después de ti.</s>>>>><p>Declaro mañana a primera hora. Yo también. Entonces, ¿voy después de ti?</p>",<s>Debo declarar mañana temprano. Yo también. Supongo que voy después de ti.</s>>>>><p>,...Tengo que declarar mañana. Yo también. Supongo que voy después de ti.
304,"Puedes resolver tus cosas, y yo, las mías. Separados.",Soluciona tus propios marrones y yo solucionaré los míos. Separados.,"<s>Puedes resolver tus cosas, y yo, las mías. Separados.</s>>>>><p>Soluciona tus propios marrones y yo solucionaré los míos. Separados.</p>","<s>Puedes resolver tus cosas, y yo, las mías. Separados.</s>>>>><p>","Puedes arreglar tus cosas y yo, las mías. Y yo, las mías."
305,"¡La voy a tomar! Por Dios. ¡Robert, viniste!","¡Me la voy a tomar! Dios mío. ¡Robert, has venido!","<s>¡La voy a tomar! Por Dios. ¡Robert, viniste!</s>>>>><p>¡Me la voy a tomar! Dios mío. ¡Robert, has venido!</p>","<s>¡La voy a tomar! Por Dios. ¡Robert, viniste!</s>>>>><p>","¡La voy a tomar! Dios mío. ¡Robert, has venido!"
306,Estás en buenas manos.,Estás en buenas manos.,<s>Estás en buenas manos.</s>>>>><p>Estás en buenas manos.</p>,<s>Estás en buenas manos.</s>>>>><p>,Estás en buenas manos.
307,Ustedes ni siquiera eran novios. ¿Qué tiene que ver?,Técnicamente no salíais juntos. ¿Y qué más da?,<s>Ustedes ni siquiera eran novios. ¿Qué tiene que ver?</s>>>>><p>Técnicamente no salíais juntos. ¿Y qué más da?</p>,<s>Ustedes ni siquiera eran novios. ¿Qué tiene que ver?</s>>>>><p>,¿Y vosotros? Ni siquiera eran novios. ¿Qué tiene que ver?
308,"La evidencia que cree que tiene en su contra… Sí, tengo bastante.",Cualquier prueba que crea tener… Tengo muchas.,"<s>La evidencia que cree que tiene en su contra… Sí, tengo bastante.</s>>>>><p>Cualquier prueba que crea tener… Tengo muchas.</p>","<s>La evidencia que cree que tiene en su contra… Sí, tengo bastante.</s>>>>><p>","La prueba que cree que tiene en su contra… Sí, tengo bastante."
309,Puedes darlo después. Me perdí de ir a misa esta mañana por primera vez en 14 años.,Luego das el tuyo. No he ido a misa por primera vez en 14 años.,<s>Puedes darlo después. Me perdí de ir a misa esta mañana por primera vez en 14 años.</s>>>>><p>Luego das el tuyo. No he ido a misa por primera vez en 14 años.</p>,<s>Puedes darlo después. Me perdí de ir a misa esta mañana por primera vez en 14 años.</s>>>>><p>,Puedes darlo después. Me he perdido de ir a la iglesia por primera vez en 14 años.
310,¿Sucede algo? Una huésped solicitó algo. No sé si deba dárselo. Los encargados deben complacer a los clientes.,¿Pasa algo? Una huésped pidió algo y no creo que deba dárselo. Su trabajo es darle a los huéspedes lo que piden.,<s>¿Sucede algo? Una huésped solicitó algo. No sé si deba dárselo. Los encargados deben complacer a los clientes.</s>>>>><p>¿Pasa algo? Una huésped pidió algo y no creo que deba dárselo. Su trabajo es darle a los huéspedes lo que piden.</p>,<s>¿Sucede algo? Una huésped solicitó algo. No sé si deba dárselo. Los encargados deben complacer a los clientes.</s>>>>><p>,¿Es algo? Una huésped pide algo. No sé si deba dárselo. Los encargados deben complacer a los clientes.
311,Ya sabes. Olvídalo. Pero...,Ya sabes. Olvídalo. Pero...,<s>Ya sabes. Olvídalo. Pero...</s>>>>><p>Ya sabes. Olvídalo. Pero...</p>,<s>Ya sabes. Olvídalo. Pero...</s>>>>><p>,Ya sabes. Olvídalo. Pero...
312,"No iré. ¿Por qué no? Si me subo a un escenario, no pararé de sudar.",No voy a ir. ¿Por qué no? Aún no me quito el olor de lo de Chinese Popstar.,"<s>No iré. ¿Por qué no? Si me subo a un escenario, no pararé de sudar.</s>>>>><p>No voy a ir. ¿Por qué no? Aún no me quito el olor de lo de Chinese Popstar.</p>","<s>No iré. ¿Por qué no? Si me subo a un escenario, no pararé de sudar.</s>>>>><p>","No voy. ¿Por qué no? Si me subo a un escenario, no pararé de sudar."
313,Saddam Hussein dijo que fue elegido por Dios para gobernar Irak por siempre,"Sadam Huseín afirmaba que fue ungido por Dios para gobernar Irak eternamente,","<s>Saddam Hussein dijo que fue elegido por Dios para gobernar Irak por siempre</s>>>>><p>Sadam Huseín afirmaba que fue ungido por Dios para gobernar Irak eternamente,</p>",<s>Saddam Hussein dijo que fue elegido por Dios para gobernar Irak por siempre</s>>>>><p>,Sadam Hussein dijo que fue elegido por Dios para gobernar Irak
314,"¡Él es objeto de una persecución! Provoca mucho dolor y sufrimiento,","Ha causado mucho dolor y sufrimiento,","<s>¡Él es objeto de una persecución! Provoca mucho dolor y sufrimiento,</s>>>>><p>Ha causado mucho dolor y sufrimiento,</p>","<s>¡Él es objeto de una persecución! Provoca mucho dolor y sufrimiento,</s>>>>><p>","¡Es un objeto de una persecución! Provoca mucho dolor y sufrimiento,"
315,"No, no. Sal de aquí. Vete. ¿Bromeas?",No. Sal. Vete. ¿Estás de broma?,"<s>No, no. Sal de aquí. Vete. ¿Bromeas?</s>>>>><p>No. Sal. Vete. ¿Estás de broma?</p>","<s>No, no. Sal de aquí. Vete. ¿Bromeas?</s>>>>><p>","No, no. Sal de aquí. Vete. ¿Bromeas?"
316,¡BUENA SUERTE!,¡BUENA SUERTE!,<s>¡BUENA SUERTE!</s>>>>><p>¡BUENA SUERTE!</p>,<s>¡BUENA SUERTE!</s>>>>><p>,EL TRADOR DE LA MADRE
317,"Soy un modelo de hombría. Con una familia hermosa, carajo.",Soy un modelo como hombre.,"<s>Soy un modelo de hombría. Con una familia hermosa, carajo.</s>>>>><p>Soy un modelo como hombre.</p>","<s>Soy un modelo de hombría. Con una familia hermosa, carajo.</s>>>>><p>","con una familia preciosa. Con una familia preciosa, joder."
318,Investigué un poco. No encontré muchas personas hablando de Essure.,Me informé un poco. No veía a mucha gente en línea hablando de Essure.,<s>Investigué un poco. No encontré muchas personas hablando de Essure.</s>>>>><p>Me informé un poco. No veía a mucha gente en línea hablando de Essure.</p>,<s>Investigué un poco. No encontré muchas personas hablando de Essure.</s>>>>><p>,He descubierto un poco. No he encontrado a nadie hablando de Essure.
319,"¡No, Forty! ¡Oye! Atrás. Dios mío. ¡Guarda eso! ¡No te vuelvas loco! Nunca estuve más cuerdo.","¡No, Forty! Aparta. ¡Dios, apártala! ¡No hagas locuras! Estoy más cuerdo que nunca.","<s>¡No, Forty! ¡Oye! Atrás. Dios mío. ¡Guarda eso! ¡No te vuelvas loco! Nunca estuve más cuerdo.</s>>>>><p>¡No, Forty! Aparta. ¡Dios, apártala! ¡No hagas locuras! Estoy más cuerdo que nunca.</p>","<s>¡No, Forty! ¡Oye! Atrás. Dios mío. ¡Guarda eso! ¡No te vuelvas loco! Nunca estuve más cuerdo.</s>>>>><p>","bomba. ¡No, Forty! ¡Eh! ¡Guarda eso! ¡No te vuelvas loco! ¡No te vuelvas loco! ¡No te vuelvas loco!"
320,Yo también le escondo mi vida a él. Tú y Barry deberían venir a nuestra clase de yoga.,Qué tierno. Yo también le oculto mi vida a Barry. Barry y tú deberíais venir a una de nuestras clases de yoga de parejas.,<s>Yo también le escondo mi vida a él. Tú y Barry deberían venir a nuestra clase de yoga.</s>>>>><p>Qué tierno. Yo también le oculto mi vida a Barry. Barry y tú deberíais venir a una de nuestras clases de yoga de parejas.</p>,<s>Yo también le escondo mi vida a él. Tú y Barry deberían venir a nuestra clase de yoga.</s>>>>><p>,Dale la vida a él. Tú y Barry deberían venir a nuestra clase de yoga.
321,"Sí, Barbra Streisand sonaba amenazante.","Sí, creo que Barbra Streisand iba en serio.","<s>Sí, Barbra Streisand sonaba amenazante.</s>>>>><p>Sí, creo que Barbra Streisand iba en serio.</p>","<s>Sí, Barbra Streisand sonaba amenazante.</s>>>>><p>",Barbra Streisand era un hombre de negocios.
322,"el mundo a su alrededor, tanto en la tierra como en el mar,","el mundo que les rodeaba, tanto en tierra como en mar,","<s>el mundo a su alrededor, tanto en la tierra como en el mar,</s>>>>><p>el mundo que les rodeaba, tanto en tierra como en mar,</p>","<s>el mundo a su alrededor, tanto en la tierra como en el mar,</s>>>>><p>","el mundo a su alrededor, tanto en la tierra como en el mar,"
323,Sam me dijo que está enamorado de mí.,con una edición impecable como tributo. Sam me dijo que está enamorado de mí.,<s>Sam me dijo que está enamorado de mí.</s>>>>><p>con una edición impecable como tributo. Sam me dijo que está enamorado de mí.</p>,<s>Sam me dijo que está enamorado de mí.</s>>>>><p>,Sam me dijo que está enamorado de mí.
324,con una condición.,con una condición:,<s>con una condición.</s>>>>><p>con una condición:</p>,<s>con una condición.</s>>>>><p>,con una condición.
325,"Diablos, Clay, ¿qué carajo?","Tira la pelota, idiota. Pero qué coño, Clay.","<s>Diablos, Clay, ¿qué carajo?</s>>>>><p>Tira la pelota, idiota. Pero qué coño, Clay.</p>","<s>Diablos, Clay, ¿qué carajo?</s>>>>><p>","¡Joder, Clay! ¿Qué coño?"
326,"Guárdalo para el ring, ¿sí? Hola, Glen. Nos vemos afuera.","Déjalo para el ring, ¿vale? Hola, Glen. Nos vemos ahí fuera.","<s>Guárdalo para el ring, ¿sí? Hola, Glen. Nos vemos afuera.</s>>>>><p>Déjalo para el ring, ¿vale? Hola, Glen. Nos vemos ahí fuera.</p>","<s>Guárdalo para el ring, ¿sí? Hola, Glen. Nos vemos afuera.</s>>>>><p>","Guárdalo para el ring, ¿vale? Hola, Glen. Nos vemos fuera."
327,"Como…No lo vi venir. En absoluto. Además… ¿qué es esto, Eleanor?",Eso no lo vi venir para nada. Además…,"<s>Como…No lo vi venir. En absoluto. Además… ¿qué es esto, Eleanor?</s>>>>><p>Eso no lo vi venir para nada. Además…</p>","<s>Como…No lo vi venir. En absoluto. Además… ¿qué es esto, Eleanor?</s>>>>><p>","No lo he visto venir. En absoluto. ¿Qué es esto, Eleanor?"
328,¿Eso pasa?,¿Es cierto?,<s>¿Eso pasa?</s>>>>><p>¿Es cierto?</p>,<s>¿Eso pasa?</s>>>>><p>,¿Eso pasa?
329,y que había cambiado algunas fotos.,Y también vi que había cambiado un par de fotos.,<s>y que había cambiado algunas fotos.</s>>>>><p>Y también vi que había cambiado un par de fotos.</p>,<s>y que había cambiado algunas fotos.</s>>>>><p>,y que había cambiado algunas fotos.
330,Te llevé de regreso a casa. Y eso no nos convirtió en amigas.,Te llevé a tu casa. Pero no volvimos a ser amigas.,<s>Te llevé de regreso a casa. Y eso no nos convirtió en amigas.</s>>>>><p>Te llevé a tu casa. Pero no volvimos a ser amigas.</p>,<s>Te llevé de regreso a casa. Y eso no nos convirtió en amigas.</s>>>>><p>,Te he traído de vuelta a casa. Y eso no nos convirtió en amigas.
331,¿Qué prefieres? ¿Que los chicos vengan todo el tiempo con panecillos y baldes de arena,¿Qué prefieres? ¿Que nuestros hijos vengan constantemente con palmeras y cubos de arena,<s>¿Qué prefieres? ¿Que los chicos vengan todo el tiempo con panecillos y baldes de arena</s>>>>><p>¿Qué prefieres? ¿Que nuestros hijos vengan constantemente con palmeras y cubos de arena</p>,<s>¿Qué prefieres? ¿Que los chicos vengan todo el tiempo con panecillos y baldes de arena</s>>>>><p>,¿Qué prefieres? ¿Que los chicos vengan a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer y a la hora de comer
332,"Es un pedido, no se trata de una orden.",Pero es una sugerencia y no una exigencia.,"<s>Es un pedido, no se trata de una orden.</s>>>>><p>Pero es una sugerencia y no una exigencia.</p>","<s>Es un pedido, no se trata de una orden.</s>>>>><p>","Es un pedido, no es una orden."
333,"Y esto prueba que las trabajadoras muren por trabajar en esa fábrica,",Y demuestra que mueren chicas por trabajar en esa fábrica,"<s>Y esto prueba que las trabajadoras muren por trabajar en esa fábrica,</s>>>>><p>Y demuestra que mueren chicas por trabajar en esa fábrica</p>","<s>Y esto prueba que las trabajadoras muren por trabajar en esa fábrica,</s>>>>><p>","Y esto prueba que las trabajadoras muren por trabajar en esa fábrica,"
